Model,CV_AUC_Mean,CV_AUC_Std,CV_Accuracy_Mean,CV_F1_Mean,Improvement_over_Baseline
random_forest,0.9541666666666667,0.08680277773333189,0.8111111111111112,0.7803174603174603,0.4736111111111112
lasso,0.7736111111111111,0.18271148747224675,0.6955555555555555,0.2222222222222222,0.2930555555555556
ridge,0.9555555555555556,0.0782722377978076,0.8555555555555557,0.7803174603174603,0.4750000000000001
svm,0.9333333333333333,0.11159616348111483,0.857777777777778,0.8025396825396827,0.45277777777777783
xgboost,0.8166666666666667,0.21813073721628165,0.6888888888888889,0.6180952380952381,0.33611111111111114
